model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,butterfly_pct,calendar_pct
cnp,4518,ctx_5,0.7229589167898698,400,12.484871372580528,0.13519024021801207,78,0.5877686765718577,322,0.0,0.0
cnp,4518,ctx_10,0.6446766798266768,400,11.94538077712059,0.11765038368931524,78,0.5270262961373615,322,0.0,0.0
cnp,4518,ctx_20,0.6906457412749563,400,12.294330433011055,0.1270210252516739,78,0.5636247160232823,322,0.0,0.0
cnp,4518,ctx_50,0.6930494690590145,400,12.3001569211483,0.12797742222462416,78,0.5650720468343904,322,0.0,0.0
cnp,4518,ctx_100,0.6865443331269847,400,12.268739134073257,0.12612014716941888,78,0.5604241859575658,322,0.0,0.0
cnp,4518,extrapolation,0.671833746379374,322,10.894457772374153,0.0,0,0.671833746379374,322,0.0,0.0
cnp,4519,ctx_5,2.4752901363625606,400,26.827732250094414,0.6230966653258929,94,1.8521934710366674,306,0.0,0.0
cnp,4519,ctx_10,2.537042973504893,400,27.220157235860825,0.6380702908197797,94,1.8989726826851134,306,0.0,0.0
cnp,4519,ctx_20,2.420661614729179,400,26.524476319551468,0.6072397779697256,94,1.8134218367594535,306,0.0,0.0
cnp,4519,ctx_50,2.4353362704572237,400,26.603331208229065,0.6121009576928931,94,1.8232353127643306,306,0.0,0.0
cnp,4519,ctx_100,2.3385257337020144,400,25.96044133603573,0.5873369073439894,94,1.7511888263580253,306,0.0,0.0
cnp,4519,extrapolation,1.8367458737968576,306,20.15098312497139,0.0,0,1.8367458737968576,306,0.0,0.0
cnp,4520,ctx_5,1.6653831168606323,400,22.87419979274273,0.2971444817534683,81,1.368238635107164,319,0.0,0.0
cnp,4520,ctx_10,1.6960575582686788,400,23.09298373758793,0.3093236413615994,81,1.3867339169070794,319,0.0,0.0
cnp,4520,ctx_20,1.7280101461849429,400,23.236678019165993,0.31188255768557127,81,1.4161275884993716,319,0.0,0.0
cnp,4520,ctx_50,1.7603413042014961,400,23.599095568060875,0.31807262264103797,81,1.4422686815604582,319,0.0,0.0
cnp,4520,ctx_100,1.763013959838558,400,23.622531473636627,0.3177094241615841,81,1.4453045356769738,319,0.0,0.0
cnp,4520,extrapolation,1.696797316778964,319,20.942874550819397,0.0,0,1.696797316778964,319,0.0,0.0
cnp,4521,ctx_5,1.6835012909441693,400,23.35386022925377,0.30905260355417674,81,1.3744486873899926,319,0.0,0.0
cnp,4521,ctx_10,1.8982472425368764,400,24.87385854125023,0.34812390207219845,81,1.550123340464678,319,0.0,0.0
cnp,4521,ctx_20,1.8256535807338576,400,24.451089456677437,0.33536088399767294,81,1.4902926967361847,319,0.0,0.0
cnp,4521,ctx_50,1.802901018654582,400,24.241502925753593,0.33056569796998136,81,1.4723353206846006,319,0.0,0.0
cnp,4521,ctx_100,1.810806820359774,400,24.31464271247387,0.332411809874267,81,1.478395010485507,319,0.0,0.0
cnp,4521,extrapolation,1.4796589455995224,319,19.603285521268845,0.0,0,1.4796589455995224,319,0.0,0.0
cnp,4522,ctx_5,1.9913590384181998,400,23.908422358334064,0.3427753459117562,76,1.6485836925064437,324,0.0,0.0
cnp,4522,ctx_10,2.282695496136352,400,25.890108056366444,0.4031967944881809,76,1.8794987016481708,324,0.0,0.0
cnp,4522,ctx_20,2.258703293896366,400,25.72156784683466,0.4018663092902177,76,1.8568369846061483,324,0.0,0.0
cnp,4522,ctx_50,2.2340768889711002,400,25.5642866268754,0.39460617431618794,76,1.8394707146549123,324,0.0,0.0
cnp,4522,ctx_100,2.161146695771847,400,25.05262892693281,0.3793213563574087,76,1.7818253394144379,324,0.0,0.0
cnp,4522,extrapolation,1.806272630298961,324,20.632006861269474,0.0,0,1.806272630298961,324,0.0,0.0
cnp,4523,ctx_5,2.4302468516449243,400,27.938665509223938,0.5236323263964506,88,1.9066145252484736,312,0.0,0.0
cnp,4523,ctx_10,2.736725852444315,400,29.79884584248066,0.5908295533572867,88,2.1458962990870285,312,0.0,0.0
cnp,4523,ctx_20,2.7088921975805467,400,29.667929023504257,0.5835733705836577,88,2.125318826996889,312,0.0,0.0
cnp,4523,ctx_50,2.5231754469683496,400,28.546530321240425,0.5412572219011529,88,1.981918225067197,312,0.0,0.0
cnp,4523,ctx_100,2.5889848135116553,400,28.9447213858366,0.5565037015531493,88,2.032481111958506,312,0.0,0.0
cnp,4523,extrapolation,2.04121363947555,312,22.718446880578995,0.0,0,2.04121363947555,312,0.0,0.0
cnp,4524,ctx_5,0.7982897713867143,400,14.42593777924776,0.09784254027336092,79,0.7004472311133534,321,0.0,0.0
cnp,4524,ctx_10,0.8283245284221727,400,14.69581551104784,0.10238750319079859,79,0.7259370252313742,321,0.0,0.0
cnp,4524,ctx_20,0.8212710505695051,400,14.67089331895113,0.10369680693064454,79,0.7175742436388606,321,0.0,0.0
cnp,4524,ctx_50,0.8108559367623474,400,14.512298919260502,0.10038597366579594,79,0.7104699630965514,321,0.0,0.0
