model,day,split,sq,n,abs,sq_liquid,n_liquid,sq_illiquid,n_illiquid,butterfly_pct,calendar_pct
bspline_temporal_graph,4534,extrapolation,0.23353230071170444,314,6.849848778778396,0.0,0,0.23353230071170444,314,2.030456852791878,16.015625
bspline_temporal_graph,4535,ctx_8,0.4983171966967678,400,12.048117223566464,0.0857769291637689,87,0.41254026753299883,313,0.7672634271099744,19.044117647058822
bspline_temporal_graph,4535,extrapolation,0.41254026753299883,313,9.602114759779926,0.0,0,0.41254026753299883,313,0.7672634271099744,19.044117647058822
bspline_temporal_graph,4536,ctx_8,1.0062329241832522,400,17.840434178213947,0.1868876654542409,89,0.8193452587290113,311,1.0638297872340425,17.65625
bspline_temporal_graph,4536,extrapolation,0.8193452587290113,311,14.010665305342949,0.0,0,0.8193452587290113,311,1.0638297872340425,17.65625
bspline_temporal_graph,4537,ctx_8,1.991148425121734,400,24.10830758677291,0.3413625739282155,79,1.6497858511935184,321,1.7676767676767677,17.348484848484848
bspline_temporal_graph,4537,extrapolation,1.6497858511935184,321,19.696498937414397,0.0,0,1.6497858511935184,321,1.7676767676767677,17.348484848484848
bspline_temporal_graph,4538,ctx_8,1.5949557615311967,400,20.72008886407773,0.22833597813396375,91,1.366619783397233,309,1.3368983957219251,16.818181818181817
bspline_temporal_graph,4538,extrapolation,1.366619783397233,309,17.041533617328835,0.0,0,1.366619783397233,309,1.3368983957219251,16.818181818181817
bspline_temporal_graph,4539,ctx_8,1.0316370094427336,400,18.29987162068963,0.26919356859989335,97,0.7624434408428402,303,1.7766497461928934,22.109375
bspline_temporal_graph,4539,extrapolation,0.7624434408428402,303,13.627502192576305,0.0,0,0.7624434408428402,303,1.7766497461928934,22.109375
bspline_tiered_graph,4500,ctx_8,0.4688915628135714,400,10.95085215442472,0.09966729964219909,93,0.36922426317137236,307,0.7874015748031497,15.857142857142858
bspline_tiered_graph,4500,extrapolation,0.36922426317137236,307,8.33872118986002,0.0,0,0.36922426317137236,307,0.7874015748031497,15.857142857142858
bspline_tiered_graph,4501,ctx_8,1.3010368446005045,400,21.451413764035898,0.27131048499133653,89,1.029726359609168,311,1.2626262626262625,10.96774193548387
bspline_tiered_graph,4501,extrapolation,1.029726359609168,311,16.671248853107834,0.0,0,1.029726359609168,311,1.2626262626262625,10.96774193548387
bspline_tiered_graph,4502,ctx_8,1.9027112833843385,400,25.405856290235068,0.40009537365609765,76,1.5026159097282406,324,0.5194805194805194,9.765625
bspline_tiered_graph,4502,extrapolation,1.5026159097282406,324,20.207066785445047,0.0,0,1.5026159097282406,324,0.5194805194805194,9.765625
bspline_tiered_graph,4503,ctx_8,1.0063514893132144,400,17.094564718347865,0.2192905247145516,86,0.7870609645986629,314,0.7792207792207793,15.78125
bspline_tiered_graph,4503,extrapolation,0.7870609645986629,314,13.359383704978054,0.0,0,0.7870609645986629,314,0.7792207792207793,15.78125
bspline_tiered_graph,4504,ctx_8,0.781407214609872,400,14.694699742696203,0.12925227373842207,102,0.65215494087145,298,1.0309278350515463,15.757575757575758
bspline_tiered_graph,4504,extrapolation,0.65215494087145,298,11.516836198240709,0.0,0,0.65215494087145,298,1.0309278350515463,15.757575757575758
bspline_tiered_graph,4505,ctx_8,1.561198823555209,400,21.12015492371022,0.3426688113564878,91,1.218530012198721,309,0.0,20.428571428571427
bspline_tiered_graph,4505,extrapolation,1.218530012198721,309,16.302810840515665,0.0,0,1.218530012198721,309,0.0,20.428571428571427
bspline_tiered_graph,4506,ctx_8,1.1684203316287958,400,17.250844353457758,0.17432534650242756,83,0.9940949851263682,317,0.7772020725388601,16.102941176470587
bspline_tiered_graph,4506,extrapolation,0.9940949851263682,317,14.250297939843332,0.0,0,0.9940949851263682,317,0.7772020725388601,16.102941176470587
bspline_tiered_graph,4507,ctx_8,1.122515214307284,400,17.87438104611032,0.19390088682736972,89,0.9286143274799143,311,0.25839793281653745,18.308823529411764
bspline_tiered_graph,4507,extrapolation,0.9286143274799143,311,14.23481230084652,0.0,0,0.9286143274799143,311,0.25839793281653745,18.308823529411764
bspline_tiered_graph,4508,ctx_8,0.36108432137350766,400,9.675544840664983,0.1078369847260479,95,0.2532473366474597,305,0.783289817232376,23.257575757575758
bspline_tiered_graph,4508,extrapolation,0.2532473366474597,305,6.89961532500817,0.0,0,0.2532473366474597,305,0.783289817232376,23.257575757575758
bspline_tiered_graph,4509,ctx_8,0.39609238161768756,400,10.258652092528289,0.06001116285926098,78,0.3360812187584266,322,0.5181347150259067,18.4375
bspline_tiered_graph,4509,extrapolation,0.3360812187584266,322,8.412597987536692,0.0,0,0.3360812187584266,322,0.5181347150259067,18.4375
bspline_tiered_graph,4510,ctx_8,4.1951267044112015,400,33.63671406625974,0.7543138853139463,87,3.440812819097255,313,0.5076142131979695,22.794117647058822
bspline_tiered_graph,4510,extrapolation,3.440812819097255,313,27.01283537699255,0.0,0,3.440812819097255,313,0.5076142131979695,22.794117647058822
bspline_tiered_graph,4511,ctx_8,2.292213125471787,400,21.6354395605099,0.557294999159431,81,1.7349181263123556,319,1.2755102040816326,22.426470588235293
bspline_tiered_graph,4511,extrapolation,1.7349181263123556,319,16.956667513691237,0.0,0,1.7349181263123556,319,1.2755102040816326,22.426470588235293
bspline_tiered_graph,4512,ctx_8,1.4191838007952235,400,17.96516413520581,0.30347774274988387,89,1.1157060580453395,311,1.550387596899225,20.88235294117647
bspline_tiered_graph,4512,extrapolation,1.1157060580453395,311,14.32237929896751,0.0,0,1.1157060580453395,311,1.550387596899225,20.88235294117647
bspline_tiered_graph,4513,ctx_8,1.5619323394789362,400,20.250042085398334,0.3131723662896844,90,1.2487599731892518,310,2.5510204081632653,26.21212121212121
bspline_tiered_graph,4513,extrapolation,1.2487599731892518,310,15.871542278976317,0.0,0,1.2487599731892518,310,2.5510204081632653,26.21212121212121
bspline_tiered_graph,4514,ctx_8,0.6398306206433684,400,12.020913689580599,0.13355812518175672,86,0.5062724954616116,314,2.1164021164021163,28.03030303030303
bspline_tiered_graph,4514,extrapolation,0.5062724954616116,314,9.385539825581478,0.0,0,0.5062724954616116,314,2.1164021164021163,28.03030303030303
bspline_tiered_graph,4515,ctx_8,1.6754407323221503,400,22.323801169125602,0.45474773967075993,101,1.2206929926513905,299,3.58974358974359,22.03125
